Rank,Gene,Selected (/60),Frequency,Stable core
1,RDH11,24,0.40,no
2,TRPS1,59,0.98,yes
3,TCF21,60,1.00,yes
4,ACSM2B,19,0.32,no
5,HNF1B,58,0.97,yes
6,C8ORF85,43,0.72,no
7,SFTA3,56,0.93,yes
8,SCGB2A2,45,0.75,no
9,MCTP2,47,0.78,no
10,IHH,43,0.72,no
11,FOXF1,52,0.87,yes
12,GALNT12,30,0.50,no
13,SLC45A3,46,0.77,no
14,NKX2-1,46,0.77,no
15,OVOL2,33,0.55,no
16,MET,9,0.15,no
17,TFAP2A,49,0.82,yes
18,KLK2,42,0.70,no
19,HOXB13,38,0.63,no
20,PAX8,39,0.65,no
21,SCGB3A2,33,0.55,no
22,C9ORF152,3,0.05,no
23,SCTR,42,0.70,no
24,BEND4,30,0.50,no
25,SLC6A13,28,0.47,no
26,FZD5,45,0.75,no
27,KLK3,45,0.75,no
28,EFHD1,45,0.75,no
29,SLC22A2,14,0.23,no
30,C20ORF56,52,0.87,yes
31,C9ORF167,43,0.72,no
32,PAX2,8,0.13,no
33,SFTPA2,49,0.82,yes
34,SLC17A3,16,0.27,no
35,SFTPB,57,0.95,yes
36,HHLA2,22,0.37,no
37,GATA3,51,0.85,yes
38,KLK15,7,0.12,no
39,EMX2OS,31,0.52,no
40,HKDC1,49,0.82,yes
41,SLC3A1,24,0.40,no
42,SFTPA1,51,0.85,yes
43,SFTPD,14,0.23,no
44,CDH16,32,0.53,no
45,SHH,42,0.70,no
46,LMO7,3,0.05,no
47,PRAC,21,0.35,no
48,SLC28A1,24,0.40,no
49,ACPP,35,0.58,no
50,C15ORF21,19,0.32,no
51,TMEFF2,33,0.55,no
52,LMX1B,54,0.90,yes
53,DMGDH,13,0.22,no
54,EN1,42,0.70,no
55,CAPN5,17,0.28,no
56,IGSF9,13,0.22,no
57,TMEM140,10,0.17,no
58,NKX3-1,38,0.63,no
59,DHDPSL,5,0.08,no
60,AGXT2,8,0.13,no
61,ADIPOQ,14,0.23,no
62,FOLH1,13,0.22,no
63,ACSM3,31,0.52,no
64,HSD17B11,32,0.53,no
65,PAGE4,14,0.23,no
66,ARSE,1,0.02,no
67,ALDH1A3,13,0.22,no
68,SFTA2,40,0.67,no
69,STEAP2,28,0.47,no
70,C17ORF93,22,0.37,no
71,GPA33,3,0.05,no
72,TESC,3,0.05,no
73,SEL1L3,4,0.07,no
74,HOXA10,1,0.02,no
75,PRLR,48,0.80,yes
