rank,gene,gini_importance
1,RDH11,0.008845445254575326
2,TRPS1,0.0088224762794367
3,TCF21,0.007945882720547035
4,ACSM2B,0.006813643191986655
5,HNF1B,0.006732465010300851
6,C8ORF85,0.006016040267196637
7,SFTA3,0.005829405858394017
8,SCGB2A2,0.005703112563247008
9,MCTP2,0.005665437626104285
10,IHH,0.0054123981348641916
11,FOXF1,0.005241045158265815
12,GALNT12,0.0047794321269910515
13,SLC45A3,0.004746701861741721
14,NKX2-1,0.0045620272384620545
15,OVOL2,0.004502466264085223
16,MET,0.004399531251202044
17,TFAP2A,0.00428772609581045
18,KLK2,0.004195778422981523
19,HOXB13,0.004181360684680059
20,PAX8,0.004160087766805465
21,SCGB3A2,0.004071604300428836
22,C9ORF152,0.003988816278842836
23,SCTR,0.003963823139420166
24,BEND4,0.0039595414348773195
25,SLC6A13,0.003948442613900501
26,FZD5,0.003948149982862487
27,KLK3,0.00392272662688498
28,EFHD1,0.003825663972157682
29,SLC22A2,0.003809640679958294
30,C20ORF56,0.0037442303987581015
31,C9ORF167,0.0036570805037441654
32,PAX2,0.0035987020406558845
33,SFTPA2,0.0035530392090335674
34,SLC17A3,0.0034371814830314496
35,SFTPB,0.0034332681725130587
36,HHLA2,0.003429852179755203
37,GATA3,0.003425089885373311
38,KLK15,0.003387854789072124
39,EMX2OS,0.003364609770515689
40,HKDC1,0.0033383479192607974
41,SLC3A1,0.0033318837920070657
42,SFTPA1,0.0033302516148462614
43,SFTPD,0.003295130954871203
44,CDH16,0.003286213241977187
45,SHH,0.0032184595354419142
46,LMO7,0.003208107322375192
47,PRAC,0.0031968134181642772
48,SLC28A1,0.003193412005145347
49,ACPP,0.003192956252659024
50,C15ORF21,0.0031822448285533625
51,TMEFF2,0.003174694772206081
52,LMX1B,0.003098384513612466
53,DMGDH,0.003080912491439647
54,EN1,0.0030545197206838554
55,CAPN5,0.0030259764198766886
56,IGSF9,0.003014235934772256
57,TMEM140,0.0028741156986139458
58,NKX3-1,0.002857481487326599
59,DHDPSL,0.0028410352511550117
60,AGXT2,0.002824225450942158
61,ADIPOQ,0.0027634753784127972
62,FOLH1,0.002757762319632109
63,ACSM3,0.0027542351646936366
64,HSD17B11,0.002729035254435951
65,PAGE4,0.0027274921488436715
66,ARSE,0.002697350864084896
67,ALDH1A3,0.0026766697537136935
68,SFTA2,0.0026442375057607083
69,STEAP2,0.002640971352742638
70,C17ORF93,0.0026149770338640952
71,GPA33,0.002595280463178309
72,TESC,0.0025629446375159165
73,SEL1L3,0.002554855172553363
74,HOXA10,0.002552762557135493
75,PRLR,0.0025343396215165848
