gene,selected,n_repeats,frequency,in_reported_panel
RDH11,60,60,1.0,True
C8ORF85,60,60,1.0,True
TRPS1,60,60,1.0,True
MCTP2,60,60,1.0,True
ACSM2B,58,60,0.967,True
TCF21,56,60,0.933,True
HNF1B,48,60,0.8,True
NKX2-1,45,60,0.75,True
SFTA3,41,60,0.683,True
KLK2,34,60,0.567,True
SCGB2A2,31,60,0.517,True
SLC45A3,29,60,0.483,True
FOXF1,27,60,0.45,True
IHH,25,60,0.417,True
PAX8,23,60,0.383,True
OVOL2,20,60,0.333,True
MET,19,60,0.317,True
TFAP2A,13,60,0.217,True
HOXB13,12,60,0.2,True
GALNT12,9,60,0.15,True
KLK3,47,60,0.783,False
HKDC1,46,60,0.767,False
FZD5,32,60,0.533,False
SCTR,30,60,0.5,False
EN1,30,60,0.5,False
EFHD1,24,60,0.4,False
LMX1B,21,60,0.35,False
SFTPA2,20,60,0.333,False
MREG,18,60,0.3,False
PRAC,15,60,0.25,False
SCGB3A2,14,60,0.233,False
C15ORF21,13,60,0.217,False
C20ORF56,11,60,0.183,False
NAPSA,11,60,0.183,False
GATA3,10,60,0.167,False
C9ORF167,9,60,0.15,False
SFTPB,9,60,0.15,False
BEND4,8,60,0.133,False
NKX3-1,7,60,0.117,False
ARHGAP6,6,60,0.1,False
SHH,6,60,0.1,False
TARP,5,60,0.083,False
KLK4,5,60,0.083,False
PAX2,5,60,0.083,False
THRSP,4,60,0.067,False
IRX5,4,60,0.067,False
TMEFF2,4,60,0.067,False
TBC1D9,4,60,0.067,False
SFTPA1,4,60,0.067,False
CHRNA2,3,60,0.05,False
HHLA2,3,60,0.05,False
SFTPC,3,60,0.05,False
PRSS22,3,60,0.05,False
SALL1,2,60,0.033,False
PBX1,2,60,0.033,False
SLC4A4,2,60,0.033,False
STEAP2,2,60,0.033,False
EPDR1,2,60,0.033,False
ACPP,2,60,0.033,False
TMEM140,2,60,0.033,False
FOLH1,2,60,0.033,False
CPNE4,2,60,0.033,False
PRLR,2,60,0.033,False
ESM1,1,60,0.017,False
ESRP1,1,60,0.017,False
TMEM30B,1,60,0.017,False
CUX2,1,60,0.017,False
EMX2OS,1,60,0.017,False
SFTPD,1,60,0.017,False
CUBN,1,60,0.017,False
SEL1L3,1,60,0.017,False
CRABP2,1,60,0.017,False
SLC30A4,1,60,0.017,False
HAND2,1,60,0.017,False
FLJ45983,1,60,0.017,False
SLC3A1,1,60,0.017,False
SLC6A13,1,60,0.017,False
ACSM3,1,60,0.017,False
C20ORF151,1,60,0.017,False
