gene,selected,n_resamples,frequency,in_reported_panel
HNF1B,51,60,0.85,True
TCF21,51,60,0.85,True
TRPS1,49,60,0.817,True
FOXF1,37,60,0.617,True
TFAP2A,31,60,0.517,True
SCGB2A2,29,60,0.483,True
MCTP2,27,60,0.45,True
C8ORF85,22,60,0.367,True
SFTA3,22,60,0.367,True
NKX2-1,20,60,0.333,True
SLC45A3,18,60,0.3,True
IHH,14,60,0.233,True
HOXB13,12,60,0.2,True
PAX8,10,60,0.167,True
KLK2,9,60,0.15,True
OVOL2,6,60,0.1,True
RDH11,6,60,0.1,True
GALNT12,5,60,0.083,True
ACSM2B,4,60,0.067,True
HKDC1,35,60,0.583,False
GATA3,34,60,0.567,False
SFTPB,31,60,0.517,False
LMX1B,29,60,0.483,False
SFTPA1,29,60,0.483,False
FZD5,27,60,0.45,False
NAPSA,24,60,0.4,False
KLK3,22,60,0.367,False
C20ORF56,22,60,0.367,False
EFHD1,21,60,0.35,False
SHH,19,60,0.317,False
EN1,18,60,0.3,False
PRLR,18,60,0.3,False
SFTPA2,17,60,0.283,False
SFTPC,16,60,0.267,False
NKX3-1,15,60,0.25,False
FXYD2,15,60,0.25,False
KLK4,15,60,0.25,False
ACPP,14,60,0.233,False
STEAP2,12,60,0.2,False
SCTR,11,60,0.183,False
C9ORF167,10,60,0.167,False
TMEFF2,10,60,0.167,False
CPNE4,9,60,0.15,False
CDH16,9,60,0.15,False
CHRNA2,9,60,0.15,False
TARP,8,60,0.133,False
SLC4A4,8,60,0.133,False
EMX2OS,8,60,0.133,False
SFTA2,7,60,0.117,False
BEND4,7,60,0.117,False
PCA3,7,60,0.117,False
SCGB3A2,7,60,0.117,False
FLJ45983,7,60,0.117,False
C20ORF151,6,60,0.1,False
PPAP2A,6,60,0.1,False
SLC28A1,6,60,0.1,False
NR1H4,6,60,0.1,False
EMX2,6,60,0.1,False
POU3F3,6,60,0.1,False
ARHGAP6,6,60,0.1,False
GAL3ST1,5,60,0.083,False
LMAN1L,5,60,0.083,False
SALL1,5,60,0.083,False
THRSP,5,60,0.083,False
SLC6A13,5,60,0.083,False
MREG,4,60,0.067,False
LOC100130933,4,60,0.067,False
IRX5,4,60,0.067,False
OR51E2,4,60,0.067,False
C17ORF93,4,60,0.067,False
C14ORF105,4,60,0.067,False
ACSM2A,4,60,0.067,False
PBX1,4,60,0.067,False
ENPP1,4,60,0.067,False
ENPEP,4,60,0.067,False
HSD17B11,4,60,0.067,False
ESRP1,4,60,0.067,False
GRHL2,3,60,0.05,False
FOXA2,3,60,0.05,False
SHOX2,3,60,0.05,False
PRAC,3,60,0.05,False
SLC3A1,3,60,0.05,False
ST6GALNAC1,3,60,0.05,False
UGT2B7,3,60,0.05,False
GALNT6,3,60,0.05,False
BHMT,3,60,0.05,False
TRPM8,3,60,0.05,False
IGSF9,3,60,0.05,False
CAPN5,3,60,0.05,False
FBXO17,2,60,0.033,False
C15ORF21,2,60,0.033,False
LOC100131551,2,60,0.033,False
CDH6,2,60,0.033,False
?|553137,2,60,0.033,False
SLC22A2,2,60,0.033,False
SLC5A10,2,60,0.033,False
HHLA2,2,60,0.033,False
GCNT3,2,60,0.033,False
NAT8,2,60,0.033,False
TBC1D9,2,60,0.033,False
ESR1,2,60,0.033,False
GDEP,2,60,0.033,False
AMN,2,60,0.033,False
ACSM3,2,60,0.033,False
PAGE4,2,60,0.033,False
GPX3,1,60,0.017,False
ASPA,1,60,0.017,False
LRRC19,1,60,0.017,False
ADIPOQ,1,60,0.017,False
ALPK2,1,60,0.017,False
HOXA13,1,60,0.017,False
NAAA,1,60,0.017,False
APOH,1,60,0.017,False
KLK15,1,60,0.017,False
GALNT14,1,60,0.017,False
TESC,1,60,0.017,False
DMGDH,1,60,0.017,False
KCNN2,1,60,0.017,False
TMEM140,1,60,0.017,False
SLC17A3,1,60,0.017,False
TSPAN8,1,60,0.017,False
PKP3,1,60,0.017,False
FEV,1,60,0.017,False
CLRN3,1,60,0.017,False
C11ORF41,1,60,0.017,False
STEAP1,1,60,0.017,False
MST1R,1,60,0.017,False
SLC17A1,1,60,0.017,False
TMEM174,1,60,0.017,False
PRSS22,1,60,0.017,False
ANO7,1,60,0.017,False
MFAP5,1,60,0.017,False
DPP4,1,60,0.017,False
CALML5,1,60,0.017,False
DHRS7,1,60,0.017,False
KCNJ16,1,60,0.017,False
STK32A,1,60,0.017,False
DDX3Y,1,60,0.017,False
METTL7B,1,60,0.017,False
TFAP2B,1,60,0.017,False
TMPRSS2,1,60,0.017,False
KLKP1,1,60,0.017,False
GATA2,1,60,0.017,False
HNF4A,1,60,0.017,False
CRYL1,1,60,0.017,False
SLC30A4,1,60,0.017,False
PAX2,1,60,0.017,False
RAB25,1,60,0.017,False
SLC13A1,1,60,0.017,False
