dropped_gene,replacement,co_occurrences,pearson_r
HOXA10,NAPSA,51,-0.367
HOXA10,SFTPC,45,-0.465
HOXA10,CHRNA2,40,0.435
HOXA10,FXYD2,40,0.165
HOXA10,CPNE4,39,0.264
ALDH1A3,NAPSA,40,-0.188
ALDH1A3,SFTPC,35,-0.062
ALDH1A3,CHRNA2,34,0.768
ALDH1A3,CPNE4,32,0.708
ALDH1A3,FXYD2,32,-0.263
HHLA2,NAPSA,33,0.493
HHLA2,SFTPC,31,0.194
HHLA2,CPNE4,25,-0.216
HHLA2,PCA3,25,-0.135
HHLA2,FXYD2,25,0.657
SFTA2,NAPSA,18,0.784
SFTA2,SFTPC,14,0.825
SFTA2,FXYD2,14,-0.052
SFTA2,CHRNA2,13,-0.252
SFTA2,C20ORF151,13,0.125
FOLH1,NAPSA,40,-0.177
FOLH1,SFTPC,37,-0.272
FOLH1,CHRNA2,30,0.724
FOLH1,CPNE4,30,0.609
FOLH1,FXYD2,30,0.139
SLC22A2,NAPSA,39,0.184
SLC22A2,SFTPC,35,-0.235
SLC22A2,FXYD2,32,0.891
SLC22A2,CHRNA2,28,-0.153
SLC22A2,CPNE4,28,-0.256
GPA33,NAPSA,49,0.064
GPA33,SFTPC,43,0.122
GPA33,CHRNA2,39,-0.322
GPA33,CPNE4,37,-0.26
GPA33,FXYD2,37,-0.071
SEL1L3,NAPSA,48,0.51
SEL1L3,SFTPC,42,0.353
SEL1L3,CHRNA2,39,-0.039
SEL1L3,CPNE4,38,0.11
SEL1L3,FXYD2,38,0.362
SLC17A3,NAPSA,38,0.255
SLC17A3,SFTPC,35,-0.157
SLC17A3,CPNE4,32,-0.303
SLC17A3,FXYD2,31,0.896
SLC17A3,CHRNA2,29,-0.229
SFTPD,NAPSA,40,0.774
SFTPD,SFTPC,36,0.819
SFTPD,CHRNA2,32,0.071
SFTPD,CPNE4,31,0.286
SFTPD,FXYD2,31,0.053
DMGDH,NAPSA,40,0.282
DMGDH,SFTPC,36,-0.08
DMGDH,CHRNA2,33,-0.101
DMGDH,CPNE4,33,-0.158
DMGDH,FXYD2,30,0.803
STEAP2,NAPSA,30,-0.175
STEAP2,SFTPC,25,-0.105
STEAP2,CPNE4,23,0.691
STEAP2,CHRNA2,22,0.784
STEAP2,FXYD2,21,-0.276
PAGE4,NAPSA,41,-0.21
